key,err,pen,f32,f16,f8
0000001010100,0.1944444444444444,3,0.2881944444444444,0.3819444444444444,0.5694444444444444
0000001010101,0.0555555555555555,4,0.1805555555555555,0.30555555555555547,0.5555555555555555
0000001010110,0.2222222222222222,4,0.3472222222222222,0.4722222222222222,0.7222222222222222
0000001010111,0.0,5,0.15625,0.3125,0.625
0000001011000,0.1388888888888888,3,0.2326388888888888,0.32638888888888884,0.5138888888888888
0000001011001,0.0,4,0.125,0.25,0.5
0000001011010,0.0277777777777777,4,0.1527777777777777,0.2777777777777777,0.5277777777777777
0000001011011,0.0277777777777777,5,0.1840277777777777,0.3402777777777777,0.6527777777777777
0000001011100,0.1666666666666666,4,0.29166666666666663,0.41666666666666663,0.6666666666666666
0000001011101,0.1111111111111111,5,0.2673611111111111,0.4236111111111111,0.7361111111111112
0000001011110,0.0833333333333333,5,0.23958333333333331,0.3958333333333333,0.7083333333333333
0000001011111,0.0833333333333333,6,0.2708333333333333,0.4583333333333333,0.8333333333333333
0000001100000,0.2777777777777778,2,0.3402777777777778,0.4027777777777778,0.5277777777777778
0000001100001,0.1111111111111111,3,0.2048611111111111,0.2986111111111111,0.4861111111111111
0000001100010,0.1388888888888888,3,0.2326388888888888,0.32638888888888884,0.5138888888888888
0000001100011,0.1111111111111111,4,0.2361111111111111,0.3611111111111111,0.6111111111111112
0000001100100,0.1666666666666666,3,0.26041666666666663,0.35416666666666663,0.5416666666666666
0000001100101,0.0555555555555555,4,0.1805555555555555,0.30555555555555547,0.5555555555555555
0000001100110,0.1388888888888888,4,0.26388888888888884,0.38888888888888884,0.6388888888888888
0000001100111,0.0277777777777777,5,0.1840277777777777,0.3402777777777777,0.6527777777777777
0000001101000,0.0833333333333333,3,0.17708333333333331,0.2708333333333333,0.4583333333333333
0000001101001,0.0555555555555555,4,0.1805555555555555,0.30555555555555547,0.5555555555555555
0000001101010,0.0555555555555555,4,0.1805555555555555,0.30555555555555547,0.5555555555555555
0000001101011,0.0,5,0.15625,0.3125,0.625
0000001101100,0.0555555555555555,4,0.1805555555555555,0.30555555555555547,0.5555555555555555
